source,material,materialType,weight,weightUnit,sellPrice,buybackPrice,currency,recordedDate,lineKey
"galeri24","gold","GALERI 24",1,"gr",2764000,2592000,"IDR","2026-05-17",""
"galeri24","gold","GALERI 24",2,"gr",5462000,5185000,"IDR","2026-05-17",""
"galeri24","gold","GALERI 24",5,"gr",13554000,12964000,"IDR","2026-05-17",""
"galeri24","gold","GALERI 24",10,"gr",27036000,25928000,"IDR","2026-05-17",""
"galeri24","gold","GALERI 24",25,"gr",67226000,64503000,"IDR","2026-05-17",""
"galeri24","gold","GALERI 24",50,"gr",134345000,129006000,"IDR","2026-05-17",""
"galeri24","gold","GALERI 24",100,"gr",268558000,258012000,"IDR","2026-05-17",""
"galeri24","gold","GALERI 24",250,"gr",669744000,641854000,"IDR","2026-05-17",""
"galeri24","gold","GALERI 24",500,"gr",1339486000,1283708000,"IDR","2026-05-17",""
"galeri24","gold","GALERI 24",1000,"gr",2678971000,2567417000,"IDR","2026-05-17",""
"galeri24","gold","DINAR G24",1,"gr",2836000,2745000,"IDR","2026-05-17",""
"galeri24","gold","DINAR G24",2,"gr",5645000,5517000,"IDR","2026-05-17",""
"galeri24","gold","DINAR G24",4,"gr",11160000,11008000,"IDR","2026-05-17",""
"galeri24","gold","BABY GALERI G24",1,"gr",0,0,"IDR","2026-05-17",""
"galeri24","gold","ANTAM",1,"gr",0,0,"IDR","2026-05-17",""
"galeri24","gold","ANTAM",2,"gr",5670000,5180000,"IDR","2026-05-17",""
"galeri24","gold","ANTAM",3,"gr",8479000,7770000,"IDR","2026-05-17",""
"galeri24","gold","ANTAM",5,"gr",14097000,12951000,"IDR","2026-05-17",""
"galeri24","gold","ANTAM",10,"gr",28137000,25902000,"IDR","2026-05-17",""
"galeri24","gold","ANTAM",25,"gr",70212000,64438000,"IDR","2026-05-17",""
"galeri24","gold","ANTAM",50,"gr",140341000,128877000,"IDR","2026-05-17",""
"galeri24","gold","ANTAM",100,"gr",280601000,257754000,"IDR","2026-05-17",""
"galeri24","gold","UBS",1,"gr",2793000,2590000,"IDR","2026-05-17",""
"galeri24","gold","UBS",2,"gr",5542000,5180000,"IDR","2026-05-17",""
"galeri24","gold","UBS",5,"gr",13693000,12951000,"IDR","2026-05-17",""
"galeri24","gold","UBS",10,"gr",27243000,25902000,"IDR","2026-05-17",""
"galeri24","gold","UBS",25,"gr",67974000,64438000,"IDR","2026-05-17",""
"galeri24","gold","UBS",50,"gr",135668000,128877000,"IDR","2026-05-17",""
"galeri24","gold","UBS",100,"gr",271231000,257754000,"IDR","2026-05-17",""
"galeri24","gold","UBS",250,"gr",677876000,641213000,"IDR","2026-05-17",""
"galeri24","gold","UBS",500,"gr",1354161000,1282426000,"IDR","2026-05-17",""
"galeri24","gold","ANTAM MULIA RETRO",1,"gr",0,0,"IDR","2026-05-17",""
"galeri24","gold","ANTAM MULIA RETRO",2,"gr",5545000,5180000,"IDR","2026-05-17",""
"galeri24","gold","ANTAM MULIA RETRO",3,"gr",8212000,7770000,"IDR","2026-05-17",""
"galeri24","gold","ANTAM MULIA RETRO",5,"gr",13767000,12951000,"IDR","2026-05-17",""
"galeri24","gold","ANTAM MULIA RETRO",10,"gr",27412000,25902000,"IDR","2026-05-17",""
"galeri24","gold","ANTAM MULIA RETRO",25,"gr",68363000,64438000,"IDR","2026-05-17",""
"galeri24","gold","ANTAM MULIA RETRO",50,"gr",136658000,128877000,"IDR","2026-05-17",""
"galeri24","gold","ANTAM MULIA RETRO",100,"gr",273047000,257754000,"IDR","2026-05-17",""
"galeri24","gold","ANTAM NON PEGADAIAN",1,"gr",2819000,2478000,"IDR","2026-05-17",""
