source,material,materialType,weight,weightUnit,sellPrice,buybackPrice,currency,recordedDate,lineKey
"hargaemas-org","gold","Emas Logam Mulia Antam",1000,"gr",2709600000,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Antam",500,"gr",1354820000,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Antam",250,"gr",677515000,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Antam",100,"gr",271112000,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Antam",50,"gr",135595000,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Antam",25,"gr",67837000,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Antam",10,"gr",28190000,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Antam",5,"gr",14593000,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Antam",2,"gr",5478000,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Antam",1,"gr",1504500,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",1000,"gr",2678971000,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",500,"gr",1339486000,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",250,"gr",669744000,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",100,"gr",268558000,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",50,"gr",134345000,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",25,"gr",67226000,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",10,"gr",27036000,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",5,"gr",13554000,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",2,"gr",5462000,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",1,"gr",1450000,0,"IDR","2026-05-17",""
"hargaemas-org","gold","Emas Logam Mulia Antam",1000,"gr",2704600000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Antam",500,"gr",1352320000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Antam",250,"gr",676265000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Antam",100,"gr",270612000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Antam",50,"gr",135345000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Antam",25,"gr",67712000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Antam",10,"gr",28140000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Antam",5,"gr",14568000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Antam",2,"gr",5468000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Antam",1,"gr",2914000,2622600,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Antam",0.5,"gr",1502000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",1000,"gr",2678971000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",500,"gr",1339486000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",250,"gr",669744000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",100,"gr",268558000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",50,"gr",134345000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",25,"gr",67226000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",10,"gr",27036000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",5,"gr",13554000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",2,"gr",5462000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",1,"gr",2764000,0,"IDR","2026-05-18",""
"hargaemas-org","gold","Emas Logam Mulia Pegadaian",0.5,"gr",1450000,0,"IDR","2026-05-18",""
