source,material,materialType,weight,weightUnit,sellPrice,buybackPrice,currency,recordedDate,lineKey
"hartadinataabadi","gold","EMASKU",1,"gr",2651000,0,"IDR","2026-05-17",""
"hartadinataabadi","gold","EMASKU",1,"gr",2631000,0,"IDR","2026-05-18",""
"hartadinataabadi","gold","EMASKU",1,"gr",2681000,0,"IDR","2026-05-19",""
"hartadinataabadi","gold","EMASKU",1,"gr",2649000,0,"IDR","2026-05-20",""
"hartadinataabadi","gold","EMASKU",1,"gr",2679000,0,"IDR","2026-05-21",""
"hartadinataabadi","gold","EMASKU",1,"gr",2672000,0,"IDR","2026-05-22",""
"hartadinataabadi","gold","EMASKU",1,"gr",2660000,0,"IDR","2026-05-23",""
"hartadinataabadi","gold","EMASKU",1,"gr",2660000,0,"IDR","2026-05-24",""
"hartadinataabadi","gold","EMASKU",1,"gr",2685000,0,"IDR","2026-05-25",""
"hartadinataabadi","gold","EMASKU",1,"gr",2679000,0,"IDR","2026-05-26",""
"hartadinataabadi","gold","EMASKU",1,"gr",2676000,0,"IDR","2026-05-27",""
"hartadinataabadi","gold","EMASKU",1,"gr",2638000,0,"IDR","2026-05-28",""
"hartadinataabadi","gold","EMASKU",1,"gr",2668000,0,"IDR","2026-05-29",""
"hartadinataabadi","gold","EMASKU",1,"gr",2696000,0,"IDR","2026-05-30",""
"hartadinataabadi","gold","EMASKU",1,"gr",2696000,0,"IDR","2026-05-31",""
"hartadinataabadi","gold","EMASKU",1,"gr",2693000,0,"IDR","2026-06-01",""
"hartadinataabadi","gold","EMASKU",1,"gr",2668000,0,"IDR","2026-06-02",""
"hartadinataabadi","gold","EMASKU",1,"gr",2658000,0,"IDR","2026-06-03",""
"hartadinataabadi","gold","EMASKU",1,"gr",2661000,0,"IDR","2026-06-04",""
"hartadinataabadi","gold","EMASKU",1,"gr",2688000,0,"IDR","2026-06-05",""
"hartadinataabadi","gold","EMASKU",1,"gr",2643000,0,"IDR","2026-06-06",""
"hartadinataabadi","gold","EMASKU",1,"gr",2643000,0,"IDR","2026-06-07",""
"hartadinataabadi","gold","EMASKU",1,"gr",2646000,0,"IDR","2026-06-08",""
"hartadinataabadi","gold","EMASKU",1,"gr",2646000,0,"IDR","2026-06-09",""
"hartadinataabadi","gold","EMASKU",1,"gr",2576000,0,"IDR","2026-06-10",""
"hartadinataabadi","gold","EMASKU",1,"gr",2509000,0,"IDR","2026-06-11",""
"hartadinataabadi","gold","EMASKU",1,"gr",2571000,0,"IDR","2026-06-12",""
"hartadinataabadi","gold","EMASKU",1,"gr",2571000,0,"IDR","2026-06-13",""
"hartadinataabadi","gold","EMASKU",1,"gr",2571000,0,"IDR","2026-06-14",""
"hartadinataabadi","gold","EMASKU",1,"gr",2600000,0,"IDR","2026-06-15",""
"hartadinataabadi","gold","EMASKU",1,"gr",2605000,0,"IDR","2026-06-16",""
