source,material,materialType,weight,weightUnit,sellPrice,buybackPrice,currency,recordedDate,lineKey
"sampoernagold","gold","unknown",1,"gr",2773000,2602000,"IDR","2026-05-22",""
"sampoernagold","gold","unknown",1,"gr",2758000,2587000,"IDR","2026-05-23",""
"sampoernagold","gold","unknown",1,"gr",2758000,2587000,"IDR","2026-05-24",""
"sampoernagold","gold","unknown",1,"gr",2788000,2622000,"IDR","2026-05-25",""
"sampoernagold","gold","unknown",1,"gr",2783000,2617000,"IDR","2026-05-26",""
"sampoernagold","gold","unknown",1,"gr",2770000,2604000,"IDR","2026-05-27",""
"sampoernagold","gold","unknown",1,"gr",2739000,2567000,"IDR","2026-05-28",""
"sampoernagold","gold","unknown",1,"gr",2759000,2589000,"IDR","2026-05-29",""
"sampoernagold","gold","unknown",1,"gr",2784000,2619000,"IDR","2026-05-30",""
"sampoernagold","gold","unknown",1,"gr",2784000,2619000,"IDR","2026-05-31",""
"sampoernagold","gold","unknown",1,"gr",2784000,2619000,"IDR","2026-06-01",""
"sampoernagold","gold","unknown",1,"gr",2759000,2594000,"IDR","2026-06-02",""
"sampoernagold","gold","unknown",1,"gr",2759000,2594000,"IDR","2026-06-03",""
"sampoernagold","gold","unknown",1,"gr",2744000,2586000,"IDR","2026-06-04",""
"sampoernagold","gold","unknown",1,"gr",2755000,2598000,"IDR","2026-06-05",""
"sampoernagold","gold","unknown",1,"gr",2704000,2546000,"IDR","2026-06-06",""
"sampoernagold","gold","unknown",1,"gr",2704000,2546000,"IDR","2026-06-07",""
"sampoernagold","gold","unknown",1,"gr",2709000,2555000,"IDR","2026-06-08",""
"sampoernagold","gold","unknown",1,"gr",2699000,2542000,"IDR","2026-06-09",""
"sampoernagold","gold","unknown",1,"gr",2679000,2507000,"IDR","2026-06-10",""
"sampoernagold","gold","unknown",1,"gr",2655000,2445000,"IDR","2026-06-11",""
"sampoernagold","gold","unknown",1,"gr",2668000,2490000,"IDR","2026-06-12",""
"sampoernagold","gold","unknown",1,"gr",2670000,2494000,"IDR","2026-06-13",""
"sampoernagold","gold","unknown",1,"gr",2670000,2494000,"IDR","2026-06-14",""
"sampoernagold","gold","unknown",1,"gr",2688000,2540000,"IDR","2026-06-15",""
