source,material,materialType,weight,weightUnit,sellPrice,buybackPrice,currency,recordedDate,lineKey
"logammulia","gold","Emas Batangan",1,"gr",1434500,0,"IDR","2026-05-17","gold-2-tr3"
"logammulia","gold","Emas Batangan",1,"gr",2769000,0,"IDR","2026-05-17","gold-2-tr4"
"logammulia","gold","Emas Batangan",2,"gr",5478000,0,"IDR","2026-05-17","gold-2-tr5"
"logammulia","gold","Emas Batangan",3,"gr",8192000,0,"IDR","2026-05-17","gold-2-tr6"
"logammulia","gold","Emas Batangan",5,"gr",13620000,0,"IDR","2026-05-17","gold-2-tr7"
"logammulia","gold","Emas Batangan",10,"gr",27185000,0,"IDR","2026-05-17","gold-2-tr8"
"logammulia","gold","Emas Batangan",25,"gr",67837000,0,"IDR","2026-05-17","gold-2-tr9"
"logammulia","gold","Emas Batangan",50,"gr",135595000,0,"IDR","2026-05-17","gold-2-tr10"
"logammulia","gold","Emas Batangan",100,"gr",271112000,0,"IDR","2026-05-17","gold-2-tr11"
"logammulia","gold","Emas Batangan",250,"gr",677515000,0,"IDR","2026-05-17","gold-2-tr12"
"logammulia","gold","Emas Batangan",500,"gr",1354820000,0,"IDR","2026-05-17","gold-2-tr13"
"logammulia","gold","Emas Batangan",1000,"gr",2709600000,0,"IDR","2026-05-17","gold-2-tr14"
"logammulia","gold","Emas Batangan Gift Series",1,"gr",1504500,0,"IDR","2026-05-17","gold-15-tr16"
"logammulia","gold","Emas Batangan Gift Series",1,"gr",2919000,0,"IDR","2026-05-17","gold-15-tr17"
"logammulia","gold","Emas Batangan Selamat Idul Fitri",5,"gr",14593000,0,"IDR","2026-05-17","gold-18-tr19"
"logammulia","gold","Emas Batangan Imlek",8,"gr",23006800,0,"IDR","2026-05-17","gold-20-tr21"
"logammulia","gold","Emas Batangan Imlek",88,"gr",250369600,0,"IDR","2026-05-17","gold-20-tr22"
"logammulia","gold","Emas Batangan Batik Seri III",10,"gr",28190000,0,"IDR","2026-05-17","gold-23-tr24"
"logammulia","gold","Emas Batangan Batik Seri III",20,"gr",55580000,0,"IDR","2026-05-17","gold-23-tr25"
"logammulia","silver","Perak Murni",250,"gr",12750000,0,"IDR","2026-05-17","silver-1-tr3"
"logammulia","silver","Perak Murni",500,"gr",24700000,0,"IDR","2026-05-17","silver-1-tr4"
"logammulia","silver","Perak Heritage",31,"gr",2084145,0,"IDR","2026-05-17","silver-5-tr7"
"logammulia","silver","Perak Heritage",186,"gr",11383336,0,"IDR","2026-05-17","silver-5-tr8"
